Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer,Explane
What charges are applicable to Amazon S3 Standard storage class? (choose 2),1. Per GB/month storage fee,2. Retrieval fee,3. Minimum capacity charge per object,4. Data ingress,5. Data egress,"1. Per GB/month storage fee, 5. Data egress","With the standard storage class, you pay a per gb/month storage fee, and data transfer out of S3 
Standard-IA and One Zone-IA have a minimum capacity charge per object Standard-IA, One Zone-IA, and Glacier also have a retrieval fee You don't pay for data into S3 under any storage class"
An engineer launched a new EC2 instance and it was immediately terminated. What is the most likely reason?,1. The user does not have the permissions to launch EC2 instances,2. The AZ does not have any capacity left,3. The account has reached its On-Demand instance limit for the region,4. The AMI was deleted,,3. The account has reached its On-Demand instance limit for the region,"You are limited to running up to a total of 20 on-demand instances across the instance family, purchasing 20 Reserved Instances, and requesting Spot Instances per your dynamic Spot limit per region
If a user did not have permissions to launch an instance then it would not launch at all, rather than launching and then terminating
If the AZ did not have capacity, or the AMI was deleted the instance would not launch"
How can a company connect their EC2 instances in one region with EC2 instances in another region using private IP addresses?,1. Inter-Region VPC Peering,2. AWS Direct Connect,3. AWS Managed VPN,4. VPC Peering,,1. Inter-Region VPC Peering,"Amazon ec2 now allows peering relationships to be established between virtual private Clouds (VPCs) across different AWS regions. Inter-Region VPC Peering allows VPC resources like EC2 instances, RDS databases and Lambda functions running in different AWS regions to communicate with each other using private IP addresses, without requiring gateways, VPN connections or separate network appliances
VPC Peering is used to peer VPCs within the same region
AWS Direct Connect is a private connection from an on-premise network to an AWS region, it does not enable connectivity between regions (unless you use Direct Connect Gateway)"
Which of the following descriptions is incorrect in relation to the design of Availability Zones?,"1. AZ’s have direct, low-latency, high throughput and redundant network connections betweeneach other",2. Each AZ is designed as an independent failure zone,3. AZs are physically separated within a typical metropolitan region and are located in lowerrisk flood plains,4. Each subnet in a VPC is mapped to all AZs in the region,,4. Each subnet in a VPC is mapped to all AZs in the region,Subnets are created within a single az and do not get mapped to multiple azs
"When designing a VPC, what is the purpose of an Internet Gateway?",1. Provides Internet access for EC2 instances in private subnets,2. Enables Internet communications for instances in public subnets,3. It's a bastion host for inbound management connections,4. It's used for making VPN connections to a VPC,,2. Enables Internet communications for instances in public subnets,"An internet gateway is a horizontally scaled, redundant, and highly available vpc component that allows communication between instances in your VPC and the internet. It therefore imposes no availability risks or bandwidth constraints on your network traffic
An internet gateway serves two purposes: to provide a target in your VPC route tables for internet-routable traffic, and to perform network address translation (NAT) for instances that have been assigned public IPv4 addresses
You cannot use an Internet Gateway as a bastion host, deploy an EC2 instance in a public subnet for this purpose
You cannot connect instances in a private subnet to the Internet using an Internet Gateway, you  need a NAT Gateway or NAT Instance for this purpose
You cannot use the Internet Gateway for making VPN connections to a VPC, you need a Virtual Private Gateway for this purpose"
"In Amazon CloudWatch, which of the following Amazon EC2 data points requires a custom metric to monitor?",1. Memory utilization,2. CPU utilization,3. Disk write operations,4. Network packets in,,1. Memory utilization,"The aws/ec2 namespace includes the following instance metrics: CPUUtilization
DiskReadOps
DiskWriteOps
DiskReadBytes
DiskWriteBytes
NetworkIn
NetworkOut
NetworkPacketsIn
NetworkPacketsOut"
Which of the following configuration items are important to enabling an EC2 web server to serve  web pages on the Internet? (choose 2),1. Security group rules configured to allow HTTP/HTTPS,2. A private IP address assigned to the instance,3. Security groups rules configured to allow SSH,4. A public IP address assigned to the instance,5. An established VPN connection,"1. Security group rules configured to allow HTTP/HTTPS, 4. A public IP address assigned to the instance","To connect to a web page on a web server you use the http/https protocol. you therefore need to ensure the instance's security group allows these protocols in an inbound rule
A public IP address assigned to an instance in a public subnet is required in order to be able to directly access the instance from the Internet. There also needs to be an Internet Gateway attached to the VPC and an entry in the route table for the subnet that points to it
A private IP address will always be assigned to instances in EC2, but these do not enable access from the Internet
An established VPN connection is not required, connections will come through an Internet Gateway to a public subnet"
How can a company protect their Amazon S3 data from a regional disaster?,1. Archive to Amazon Glacier,2. Use Cross-Region Replication (CRR) to copy to another region,3. Use lifecycle actions to move to another S3 storage class,4. Enable Multi-Factor Authentication (MFA) delete,,2. Use Cross-Region Replication (CRR) to copy to another region,"The only option here that will help is to use crr to copy the data to another region. this will provide disaster recovery
Moving to Glacier or another S3 storage class does not copy the data out of the region Enabling MFA delete will not protect the data from a regional disaster"
Which of the following is NOT an AWS service used for transferring large amounts of data into Amazon S3?,1. AWS Snowball,2. AWS Snowmobile,3. S3 Transfer Acceleration,4. AWS DMS,,4. AWS DMS,Aws dms is used for migrating databases into or within aws All other options are valid services that are used for transferring large amounts of data into Amazon S3
How do AWS charge for Amazon CloudFront? (choose 2),1. Data transfer out,2. Data transfer in,3. Number of requests,4. Number of users,5. Uptime,"1. Data transfer out, 3. Number of requests","With amazon cloudfront the basic elements you are charged for include the amount of data transfer out and the number of requests. There are additional chargeable items such as  invalidation requests, field-level encryption requests, and custom SSL certificates"
"Which AWS service is part of the suite of ""serverless"" services and runs code as functions?",1. Amazon ECS,2. Amazon EKS,3. AWS Lambda,4. AWS CodeCommit,,3. AWS Lambda,"Aws lambda is a serverless compute service that runs your code in response to events and automatically manages the underlying compute resources for you. The code you run on AWS Lambda is called a “Lambda function”
Amazon ECS and EKS are both used for running software containers such as Docker containers
AWS CodeCommit is a fully-managed source control service that hosts secure Git-based repositories"
How do AWS charge for the use of NAT Gateways? (choose 2),1. Price per gateway hour,2. Price per port,3. Price per GB processed,4. Price per instance session,5. Price per protocol,"1. Price per gateway hour, 3. Price per GB processed","If you choose to create a nat gateway in your vpc, you are charged for each “nat
Gateway-hour"" that your NAT gateway is provisioned and available. Data processing charges apply for each Gigabyte processed through the NAT gateway regardless of the traffic’s source or destination"
What type of cloud computing service type do AWS Elastic Beanstalk and Amazon RDS correspond to?,1. IaaS,2. PaaS,3. SaaS,4. Hybrid,,2. PaaS,"Both elastic beanstalk and rds are services that are managed at the platform level meaning you don't need to manage the infrastructure level yourself. Therefore, tasks like OS management and patching are performed for you
IaaS is a model where the underlying hardware platform and hypervisor are managed for you and you are delivered tools and interfaces for working with operating system instances
SaaS is a model where the whole stack is managed for you right up to the application and you are delivered working software that you can customize and populate with data
Hybrid is a type of cloud delivery model in which you consume both public and private cloud and connect the two together"
Which types of scaling policies are available when using AWS Auto Scaling? (choose 2),1. Simple scaling,2. Deferred scaling,3. Agile scaling,4. Step scaling,5. Warm scaling,"1. Simple scaling, 4. Step scaling","With aws auto scaling the scaling policies include: simple, scheduled, dynamic, and step scaling
The other options are bogus and do not exist"
Which type of Elastic Load Balancer only distributes traffic using the TCP protocol information?,1. Application Load Balancer (ALB),2. Network Load Balancer (NLB),3. Classic Load Balancer (CLB),4. No load balancers operate at the TCP level,,2. Network Load Balancer (NLB),"Nlbs process traffic at the tcp level (layer 4)
ALBs process traffic at the HTTP, HTTPS level (layer 7)
CLBs process traffic at the TCP, SSL, HTTP and HTTPS levels (layer 4 & 7)"
"How can a company configure automatic, asynchronous copying of objects in Amazon S3 buckets across regions?",1. This is done by default by AWS,2. By configuring multi-master replication,3. Using cross-region replication,4. Using lifecycle actions,,3. Using cross-region replication,"Cross-region replication (crr) enables automatic, asynchronous copying of objects across buckets in different AWS Regions. Buckets configured for cross-region replication can be owned by the same AWS account or by different account
Multi-master replication is not something you can do with Amazon S3 (Amazon Aurora has this feature)
Lifecycle actions cannot be configured to move to another storage class in a different region"
"A web server is being maliciously targeted, how a systems administrator deny access from a list of known attacker IP addresses? (choose 2)",1. Using a local firewall such as iptables,2. Using a rule on the Internet Gateway,3. Using a Security Group deny rule,4. Using a Network ACL deny rule,5. Through VPC route table configuration,"1. Using a local firewall such as iptables, 4. Using a Network ACL deny rule","To block access to a known list of ip addresses you can configure a local firewall on the web server or use Network ACL deny rules
You cannot create deny rules with Security Groups (only allow rules)
Internet Gateways do not have allow/deny rules and route table configuration could not be used to break connections with specific addresses"
How can a Solutions Architect reduce the latency between end-users and applications or content? (choose 2),1. Deploy applications in multiple AZs,2. Deploy applications in regions closest to the end-users,3. Use S3 Transfer Acceleration to improve application performance,4. Use Amazon CloudFront to cache content closer to end-users,5. Use larger EC2 instance types for the applications,"2. Deploy applications in regions closest to the end-users, 4. Use Amazon CloudFront to cache content closer to end-users","To reduce latency, which corresponds with the distance over which network communications travel, you should aim to host your applications closer to your end-users. This means deploying them in the closest regions
Deploying in multiple AZs may create resiliency but won't change latency much as AZs are geographically close to each other
S3 Transfer Acceleration is used to improve upload speeds for S3 objects and does not affect application performance
CloudFormation is used for deploying resources through code (""infrastructure as code"")
Using a larger instance type for your application may improve application performance but will not reduce latency"
What is an example of scaling vertically?,1. AWS Auto Scaling adding more EC2 instances,2. AWS Lambda adding concurrently executing functions,3. Increasing the instance size with Amazon RDS,4. Adding read replicas to an Amazon RDS database,,3. Increasing the instance size with Amazon RDS,"A good example of vertical scaling is changing the instance size of an ec2 instance or rds database to one with more CPU and RAM
All of the other options are examples of scaling horizontally"
"To reduce cost, which of the following services support reservations? (choose 2)",1. Amazon ElastiCache,2. Amazon CloudFormation,3. Amazon RedShift,4. AWS Elastic Beanstalk,5. Amazon S3,"1. Amazon ElastiCache, 3. Amazon RedShift","Amazon elasticache and redshift both support reserved nodes
The use of CloudFormation and Elastic Beanstalk is not chargeable so you can't reserve anything
Amazon S3 is a pure pay per use service, you cannot reserve capacity"
Which of the following is not a best practice for protecting the root user of an AWS account?,1. Don’t share the root user credentials,2. Enable MFA,3. Remove administrative permissions,4. Lock away the AWS root user access keys,,3. Remove administrative permissions,"You cannot remove administrative permissions from the root user of an aws account. Therefore, you must protect the account through creating a complex password, enabling MFA, locking away access keys (assuming they're even required), and not sharing the account details"
Which AWS database service is a SQL database that supports complex queries and joins?,1. Amazon DynamoDB,2. Amazon ElastiCache,3. Amazon SimpleDB,4. Amazon RDS,,4. Amazon RDS,"Amazon rds is a relational database of the sql type and can be used for complex queries and joins
All other options listed are NoSQL types of database which are not suitable for complex queries and joins"
You are evaluating AWS services that can assist with creating scalable application environments. Which of the statements below best describes the Elastic Load Balancer service?,1. Helps you ensure that you have the correct number of Amazon EC2 instances available tohandle the load for your application,2. A highly available and scalable Domain Name System (DNS) service,"3. Automatically distributes incoming application traffic across multiple targets, such asAmazon EC2 instances, containers, and IP addresses",4. A network service that provides an alternative to using the Internet to connect customers’ onpremise sites to AWS,,"3. Automatically distributes incoming application traffic across multiple targets, such asAmazon EC2 instances, containers, and IP addresses","Elastic load balancing automatically distributes incoming application traffic across multiple targets, such as Amazon EC2 instances, containers, and IP addresses
Elastic Load Balancing provides fault tolerance for applications by automatically balancing traffic across targets – Amazon EC2 instances, containers and IP addresses – and Availability Zones while ensuring only healthy targets receive traffic"
What are two of the core concepts related to Amazon SNS? (choose 2),1. Topics,2. Conversations,3. Subscriptions,4. Templates,5. Tables,"1. Topics, 3. Subscriptions","The core concepts of sns are:
- Topics – how you label and group different endpoints that you send messages to - Subscriptions – the endpoints that a topic sends messages to
- Publishers – the person/alarm/event that gives SNS the message that needs to be sent"
A Solutions Architect needs to design a cloud-native application architecture using AWS services. What is a typical use case for Amazon Simple Queue Service (SQS)?,1. Providing fault tolerance for EC2 instances,2. Co-ordination of work items between different human and non-human workers,3. Decoupling application components to ensure that there is no dependency on the availabilityof a single component,4. Running serverless processes as functions,,3. Decoupling application components to ensure that there is no dependency on the availabilityof a single component,"Amazon simple queue service (sqs) is a fully managed message queuing service that enables you to decouple and scale microservices, distributed systems, and serverless applications"
Which AWS technology enables you to group resources that share one or more tags?,1. Tag groups,2. Organization groups,3. Resource groups,4. Consolidation groups,,3. Resource groups,"Resource groups make it easy to group resources using the tags that are assigned to them. you can group resources that share one or more tags
The other options are bogus and do not exist"
Which AWS security tool uses an agent installed in EC2 instances and assesses applications for vulnerabilities and deviations from best practices?,1. AWS Trusted Advisor,2. AWS Personal Health Dashboard,3. AWS TCO Calculator,4. AWS Inspector,,4. AWS Inspector,"Inspector is an automated security assessment service that helps improve the security and compliance of applications deployed on AWS. Inspector automatically assesses applications for vulnerabilities or deviations from best practices. Uses an agent installed on EC2 instances Trusted Advisor is an online resource that helps to reduce cost, increase performance and improve security by optimizing your AWS environment
AWS Personal Health Dashboard provides alerts and remediation guidance when AWS is  experiencing events that may impact you
The AWS TCO calculator can be used to compare the cost of running your applications in an on-premises or colocation environment to AWS"
"You need to provision a single EBS volume that is 500 GiB in size and needs to support 20,000 IOPS. Which EBS volume type will you select?",1. General Purpose SSD,2. Provisioned IOPS SSD,3. Throughput Optimized HDD,4. Cold HDD,,2. Provisioned IOPS SSD,"Provisioned iops ssd supports up to 50 iops per gib with up to 32,000 iops per volume
General purpose SSD supports 3 IOPS per GiB and can burst up to 3000 IOPS (volumes > 334GB), and a maximum of 10,000 per volume
The HDD options provide much lower IOPS per volume (500, 250)"
What is the easiest way to store a backup of an EBS volume on Amazon S3?,1. Write a custom script to copy the data into a bucket,2. Use S3 lifecycle actions to backup the volume,3. Create a snapshot of the volume,4. Use Amazon Kinesis to process the data and store the results in S3,,3. Create a snapshot of the volume,"All you need to do is create a snapshot as ebs snapshots are stored on s3
Writing a custom script could work but would not be the easiest method You cannot apply S3 lifecycle actions to EBS volumes
Amazon Kinesis is used for processing streaming data, not data in EBS volumes"
Which AWS storage service is accessed using the Network File System (NFS) protocol?,1. Amazon EBS,2. Amazon S3,3. Amazon Instance Store,4. Amazon EFS,,4. Amazon EFS,"The amazon elastic file system (efs) storage service can be accessed using the nfsv4 protocol
Amazon EBS and Instance store are both block-based storage systems (not file-based like EFS)
Amazon S3 is an object-based storage system and is accessed by HTTP/HTTPS"
Which of the statements below do not characterize cloud computing?,1. Cloud computing is the on-demand delivery of compute power,2. With cloud computing you get to benefit from massive economies of scale,3. Cloud computing allows you to swap variable expense for capital expense,4. With cloud computing you can increase your speed and agility,,3. Cloud computing allows you to swap variable expense for capital expense,"Cloud computing is not a one-off capital expense, it is an ongoing operating expense. the caveat to this is that if you purchase reserved capacity you have an option to partially or fully pay upfront. however, it is still an operating cost as you do not own and depreciate the assets"
What are the advantages of running a database service such as Amazon RDS in the cloud versus deploying on-premise? (choose 2),1. You have full control of the operating system and can install your own operational tools,2. Scalability is improved as it is quicker to implement and there is an abundance of capacity,"3. You can use any database software you like, allowing greater flexibility",4. High availability is easier to implement due to built-in functionality for deploying readreplicas and multi-AZ,5. There are no costs for replicating data between DBs in different data centers or regions,"2. Scalability is improved as it is quicker to implement and there is an abundance of capacity, 4. High availability is easier to implement due to built-in functionality for deploying readreplicas and multi-AZ","The advantages of using amazon rds include being able to easily scale by increasing your instance type without having to go through a long procurement cycle for getting new hardware or worrying about whether capacity exists on your existing private cloud infrastructure. You can also implement fault tolerance and scalability features through multi-AZ and read replicas easily
With Amazon RDS you do not have control of the operating system and you cannot use any database software you like as you are restricted to a list of several engines. There are costs for replicating data between AZs and regions so this must be taken into account in any cost analysis"
A Solutions Architect is looking for a way to use standard templates for describing and provisioning their infrastructure resources on AWS. Which AWS service can be used in this scenario?,1. Amazon SNS,2. AWS Auto Scaling,3. AWS Elastic Beanstalk,4. AWS CloudFormation,,4. AWS CloudFormation,"Aws cloudformation provides a common language for you to describe and provision all the infrastructure resources in your cloud environment. CloudFormation allows you to use a simple text file to model and provision, in an automated and secure manner, all the resources needed for your applications across all regions and accounts
AWS Elastic Beanstalk is the fastest and simplest way to get web applications up and running on AWS. It is more of a PaaS service and is focused on web applications not infrastructure
Auto Scaling automates the process of adding (scaling up) OR removing (scaling down) EC2 instances based on the traffic demand for your application
Amazon Simple Notification Service (Amazon SNS) is a web service that makes it easy to set up, operate, and send notifications from the cloud"
Which type of Elastic Load Balancer allows you to route traffic to instances based on the URL path of the HTTP header?,1. Application Load Balancer (ALB),2. Network Load Balancer (NLB),3. Classic Load Balancer (CLB),4. This is not supported with any type of ELB,,1. Application Load Balancer (ALB),"Application load balancers allow you to use content-based routing to direct traffic to instances based on the host field or URL path of the HTTP header 
No other type of load balancer supports path-based routing"
What can be used to automatically invoke an AWS Lambda function? (choose 2),1. Changes to an Amazon S3 bucket,2. Creation of an IAM user,3. An EC2 instance is terminated,4. Messages added to an Amazon SQS queue,5. Data is written to an Amazon EBS volume,"1. Changes to an Amazon S3 bucket, 4. Messages added to an Amazon SQS queue",Lambda functions can be invoked in response to events. these events include objects being created or deleted in an Amazon S3 bucket or messages being added to an SQS queue A list of possible event sources is included in the reference link below
Which of the following are pillars from the five pillars of the AWS Well-Architected Framework? (Choose 2),1. Resilience,2. Operational excellence,3. Confidentiality,4. Economics,5. Performance efficiency,"2. Operational excellence, 5. Performance efficiency","The five pillars of the aws well-architected framework are operation excellence, security, reliability, performance efficiency, and cost optimization"
Up to what layer of the OSI model does AWS Web Application Firewall operate?,1. Layer 3,2. Layer 4,3. Layer 5,4. Layer 7,,4. Layer 7,"The aws web application firewall operates up to the application layer (layer 7). you can use AWS WAF to create custom rules that block common attack patterns, such as SQL injection or cross-site scripting, and rules that are designed for your specific application"
What do you need to log into the AWS console?,1. User name and password,2. Key pair,3. Access key and secret ID,4. Certificate,,1. User name and password,"You can log into the aws console using a user name and password You cannot log in to the AWS console using a key pair, access key & secret ID or certificate"
Your manager has asked you to explain the benefits of using IAM groups. Which of the below statements are valid benefits? (choose 2),1. You can restrict access to the subnets in your VPC,"2. Groups let you specify permissions for multiple users, which can make it easier to managethe permissions for those users",3. Provide the ability to create custom permission policies,4. Enables you to attach IAM permission policies to more than one user at a time,5. Provide the ability to nest groups to create an organizational hierarchy,"2. Groups let you specify permissions for multiple users, which can make it easier to managethe permissions for those users, 4. Enables you to attach IAM permission policies to more than one user at a time","Groups are collections of users and have policies attached to them
A group is not an identity and cannot be identified as a principal in an IAM policy Use groups to assign permissions to users
Use the principal of least privilege when assigning permissions You cannot nest groups (groups within groups)"
Which of the authentication options below can be used to authenticate using AWS APIs? (choose 2),6. Key pairs,1. Access keys,2. Server passwords,3. Security groups,4. Server certificates,"1. Access keys, 4. Server certificates","Key pairs are used for encrypting logon information when accessing ec2 instances Access keys are a combination of an access key ID and a secret access key A server password cannot be used to authenticate with an API
Server certificates are SSL/TLS certificates that you can use to authenticate with some AWS services
Security groups are an instance-level firewall used for controlling access to AWS resources"
"When using Amazon Kinesis Data Streams, where can a consumer store their results? (choose 2)",1. Amazon S3,2. Amazon RDS,3. Amazon DynamoDB,4. Amazon ECS,5. Amazon EBS,"1. Amazon S3, 3. Amazon DynamoDB","Kinesis data streams enables you to build custom applications that process or analyze streaming data for specialized needs. Producers continually push data to Kinesis Data Streams and Consumers process the data in real time. Consumers can store their results using an AWS service such as Amazon DynamoDB, Amazon Redshift, or Amazon S3"
A company wants to use their on-premise Active Directory service to authenticate with applications on the AWS cloud. Which AWS service can be used to connect their on-premise AD to AWS?,1. Simple AD,2. AD Connector,3. IAM Connector,4. RADIUS,,2. AD Connector,"Ad connector is a directory gateway for redirecting directory requests to your on-premise
Active Directory. AD Connector eliminates the need for directory synchronization and the cost and complexity of hosting a federation infrastructure. Connects your existing on-premise AD to AWS Simple AD is an inexpensive Active Directory-compatible service with common directory features. It is a standalone, fully managed directory in the AWS cloud. It does not connect your on-premise AD to AWS IAM connector does not exist
Remote Authentication Dial-In User Service (RADIUS) is a networking protocol, operating on port 1812 that provides centralized Authentication, Authorization, and Accounting (AAA or Triple A) management for users who connect and use a network service. It is not an AWS service"
"Which type of Elastic Load Balancer only distributes traffic using the HTTP, and HTTPS protocol information?",1. Application Load Balancer (ALB),2. Network Load Balancer (NLB),3. Classic Load Balancer (CLB),4. No load balancers operate at the TCP level,,1. Application Load Balancer (ALB),"Albs process traffic at the http, https level (layer 7) NLBs process traffic at the TCP level (layer 4)
CLBs process traffic at the TCP, SSL, HTTP and HTTPS levels (layer 4 & 7)"
A company is currently running containers using Docker and Kubernetes. The company are interested in consuming a managed Kubernetes service so they don't need to maintain their own implementation. Which AWS service can they use?,1. Amazon ECS,2. Amazon EC2,3. Amazon EKS,4. Amazon EBS,,3. Amazon EKS,"Amazon elastic container service for kubernetes (eks) is a managed kubernetes service that makes it easy for you to run Kubernetes on AWS without needing to install, operate, and maintain your own Kubernetes control plane
Amazon Elastic Container Service (ECS) is used for running Docker containers but is not a managed Kubernetes service
Amazon EC2 is used for running operating system instances, not containers (though you could build your own Docker/Kubernetes implementation on an EC2 instance)
Amazon Elastic Block Store (EBS) provides block storage volumes"
You need to connect your company’s on-premise network into AWS and would like to establish an AWS managed VPN service. Which of the following configuration items needs to be setup in your company side of the connection?,1. A Virtual Private Gateway,2. A Customer Gateway,3. A Network Address Translation device,4. A Firewall,,2. A Customer Gateway,"A customer gateway is a physical device or software application on your side of the vpn connection
A virtual private gateway is the VPN concentrator on the Amazon side of the VPN connection. You create a virtual private gateway and attach it to the VPC from which you want to create the VPN connection
NAT devices and firewalls are not required for an AWS managed VPN"
How can you deploy your EC2 instances so that if a single data center fails you still have instances available?,1. Across regions,2. Across subnets,3. Across Availability Zones,4. Across VPCs,,3. Across Availability Zones,"An az spans one or more data centers and each az is physically isolated from other azs and connected by high speed networking. If you want to deploy a highly available application you should spread your instances across AZs and they will be resilient to the failure of a single DC
Subnets are created within AZs. Therefore, if you deploy resources into multiple subnets within an AZ and a data center fails, you may lose all of your instances
You could deploy your instances across separate regions but this is not necessary to create a highly available application and introduces complexity and cost. For example, you may need multiple ELBs (one per region), complex name resolution and potential data transfer charges"
"When using an Application Load Balancer (ALB), what protocols can be selected for instance health checks? (choose 2)",1. HTTP,2. SSL,3. HTTPS,4. TCP,5. ICMP,"1. HTTP, 3. HTTPS","The classic load balancer (clb) supports health checks on http, tcp, https and ssl
The Application Load Balancer (ALB) only supports health checks on HTTP and HTTPS"
How can a systems administrator specify a script to be run on an EC2 instance during launch?,1. Metadata,2. User Data,3. Run Command,4. AWS Config,,2. User Data,"When you launch an instance in amazon ec2, you have the option of passing user data to the instance that can be used to perform common automated configuration tasks and even run scripts after the instance starts
You can pass two types of user data to Amazon EC2: shell scripts and cloud-init directives 
User data is data that is supplied by the user at instance launch in the form of a script User data is limited to 16KB
User data and meta data are not encrypted"
How can a company facilitate the sharing of data over private connections between two accounts they own within a region?,1. Create an internal ELB,2. Create a subnet peering connection,3. Create a VPC peering connection,4. Configure matching CIDR address ranges,,3. Create a VPC peering connection,"A vpc peering connection helps you to facilitate the transfer of data. for example, if you have more than one AWS account, you can peer the VPCs across those accounts to create a file sharing network. You can also use a VPC peering connection to allow other VPCs to access resources you have in one of your VPCs
An internal ELB will not help you to transfer data between accounts You cannot peer subnets
Configuring matching CIDR address ranges will not mean you can route between accounts. Also, you cannot peer with an account with a matching (or overlapping) address range"
Which AWS support plans provide 24x7 access to customer service?,1. Basic,2. Business,3. Developer,4. All plans,,4. All plans,"All support plans provide 24x7 access to customer service, documentation, whitepapers, and support forums"
What advantages does the AWS cloud provide in relation to cost? (choose 2),1. Fine-grained billing,2. One-off payments for on-demand resources,3. Ability to turn off resources and not pay for them,4. Enterprise licensing discounts,5. Itemized power costs,"1. Fine-grained billing, 3. Ability to turn off resources and not pay for them","With the aws cloud you get fine-grained billing and can turn off resources you are not using easily and not have to pay for them (pay for what you use model)
You do not get the option for one-off payments for on-demand resources. You can for reserved instances which can be paid all upfront
You do not get enterprise licensing discounts from AWS and you do not pay anything for power as the cost is built in"
Which of the following are NOT features of AWS IAM? (choose 2),1. Shared access to your AWS account,2. Logon using local user accounts,3. Identity federation,4. PCI DSS compliance,5. Charged for what you use,"2. Logon using local user accounts, 5. Charged for what you use","You cannot use iam to create local user accounts on any system. you are also not charged for what you use, IAM is free to use
The other options are all features of AWS IAM"
Which HTTP code indicates a successful upload of an object to Amazon S3,1. 200,2. 300,3. 400,4. 500,,1. 200,"A http 200 codes indicates a successful upload A HTTP 300 code indicates a redirection
A HTTP 400 code indicates a client error A HTTP 500 code indicates a server error"
Which AWS database service is schema-less and can be scaled dynamically without incurring downtime?,1. Amazon RDS,2. Amazon Aurora,3. Amazon RedShift,4. Amazon DynamoDB,,4. Amazon DynamoDB,"Amazon dynamodb is a fully managed nosql database service that provides fast and predictable performance with seamless scalability. Push button scaling means that you can  scale the DB at any time without incurring downtime. DynamoDB is schema-less
All other options are SQL type of databases and therefore have a schema. They also rely on
EC2 instances so cannot be scaled dynamically without incurring downtime (you have to change instance types)"
"Under the AWS Shared Responsibility Model, who is responsible for what? (choose 2)",1. Customers are responsible for compute infrastructure,2. AWS are responsible for network and firewall configuration,3. Customers are responsible for networking traffic protection,4. AWS are responsible for networking infrastructure,5. Customers are responsible for edge locations,"3. Customers are responsible for networking traffic protection, 4. AWS are responsible for networking infrastructure","Customers are responsible for networking traffic protection AWS are responsible for networking infrastructure
AWS are responsible for compute infrastructure
Customers are responsible for network and firewall configuration AWS are responsible for edge locations"
"When using Amazon RDS with Read Replicas, which of the deployment options below are valid? (choose 2)",1. Within an Availability Zone,2. Cross-edge location,3. Cross-subnet,4. Cross-data center,5. Cross-Availability Zone,"1. Within an Availability Zone, 5. Cross-Availability Zone","Read replicas are used for offloading read traffic from the primary rds database. you can configure read replicas to be within an AZ, across AZs, and across regions
You cannot specify the subnet or data center to deploy a read replica in"
What do you need to create to specify how your AWS Auto Scaling Group scales and shrinks?,1. IAM Policy,2. Scaling Plan,3. Scaling Policy,4. Launch Configuration,,3. Scaling Policy,"Scaling policies determine when, if, and how the asg scales and shrinks (ondemand/dynamic scaling, cyclic/scheduled scaling) Scaling Plans define the triggers and when instances should be provisioned/de-provisioned
A launch configuration is the template used to create new EC2 instances and includes parameters such as instance family, instance type, AMI, key pair and security groups An IAM policy is not used to control Auto Scaling"
Your manager has asked you to explain some of the security features available in the AWS cloud. How can you describe the function of Amazon CloudHSM?,1. It is a Public Key Infrastructure (PKI),2. It provides server-side encryption for S3 objects,"3. It can be used to generate, use and manage encryption keys in the cloud",4. it is a firewall for use with web applications,,"3. It can be used to generate, use and manage encryption keys in the cloud","Aws cloudhsm is a cloud-based hardware security module (hsm) that allows you to easily add secure key storage and high-performance crypto operations to your AWS applications
CloudHSM has no upfront costs and provides the ability to start and stop HSMs on-demand, allowing you to provision capacity when and where it is needed quickly and cost-effectively
CloudHSM is a managed service that automates time-consuming administrative tasks, such as hardware provisioning, software patching, high availability, and backups"
Which AWS Glacier data access option retrieves data from an archive in 1-5 minutes?,1. Standard,2. Express,3. Accelerated,4. Expedited,,4. Expedited,"You can use the expedited access to retrieve data within 1-5 minutes Standard takes 3-5 hours
The other options are bogus and do not exist"
With which AWS Storage Gateway Volume Gateway configuration is data stored on-premise and  asynchronously backed up to Amazon S3?,1. Cached volume mode,2. File gateway mode,3. Stored volume mode,4. VTL mode,,3. Stored volume mode,"The volume gateway represents the family of gateways that support block-based volumes, previously referred to as gateway-cached and gateway-stored modes
Stored Volume mode – the entire dataset is stored on-site and is asynchronously backed up to S3 (EBS point-in-time snapshots). Snapshots are incremental and compressed
Cached Volume mode – the entire dataset is stored on S3 and a cache of the most frequently accessed data is cached on-site
A file gateway is not a mode but a different type of AWS Storage Gateway that provides a virtual on-premises file server, which enables you to store and retrieve files as objects in Amazon S3
Virtual Tape Library is not a mode but a gateway that is preconfigured with a media changer and tape drives"
Which type of AWS database is ideally suited to analytics using SQL queries?,1. Amazon DynamoDB,2. Amazon RedShift,3. Amazon RDS,4. Amazon S3,,2. Amazon RedShift,"Amazon redshift is a fast, fully managed data warehouse that makes it simple and costeffective to analyze all your data using standard sql and existing business intelligence (bi)  tools. RedShift is a SQL based data warehouse used for analytics applications
Amazon DynamoDB is a NoSQL type of database and is not suited to analytics using SQL queries
Amazon RDS is a transactional DB, not an analytics DB
Amazon S3 is an object storage solution not a database"
